"","V1"
"Leptophlebiidaeprom",1.45454545454545
"Leptohyphidaeprom",0.606060606060606
"Baetidaeprom",2.06060606060606
"Perliidaeprom",1.18181818181818
"Veliidaeprom",0.121212121212121
"Belostomatidaeprom",0.303030303030303
"Hebridaeprom",0.0909090909090909
"Coenagrionidaeprom",0.454545454545455
"Lestidaeprom",0.0303030303030303
"Calopterigidaeprom",0.606060606060606
"Gomphidaeprom",0.0606060606060606
"Blaberidaeprom",0.181818181818182
"Corydalidaeprom",0.121212121212121
"Staphylinidaeprom",0.484848484848485
"Ptilodactilidaeprom",2.24242424242424
"Heteroceridaeprom",0.0303030303030303
"Scirtidaeprom",0.121212121212121
"Elmidaeprom",0.454545454545455
"Hydraenidaeprom",0.575757575757576
"Ptilidaeprom",0.0909090909090909
"Chironomidaeprom",2.39393939393939
"Simuliidaeprom",0.424242424242424
"Tipulidaeprom",0.636363636363636
"Dolichopodidaeprom",0.0909090909090909
"Hydropsychidaeprom",5.87878787878788
"Odontoceridaeprom",2.06060606060606
"Philopotamidaeprom",0.515151515151515
"Calamoceratidaeprom",0.393939393939394
"Ceratopogonidaeprom",0.121212121212121
"Stratiomyidaeprom",0.0303030303030303
"Lampyridaeprom",0.0303030303030303
"Dryopidaeprom",0.0303030303030303
"Hydrophilidaeprom",0.242424242424242
"Curculionidaeprom",0.0303030303030303
"Dytiscidaeprom",0.242424242424242
"Coccinelidaeprom",0.0303030303030303
"Trydactilidaeprom",0.0303030303030303
"Ochteridaeprom",0.0303030303030303
"Pseudothelphusidaeprom",0.181818181818182
"Turbelaridaeprom",1.6969696969697
"Styloniscidaeprom",0.0909090909090909
"Lepidostomatidaeprom",1.36363636363636
"Dixidaeprom",0.0606060606060606
"Leptoceridaeprom",0.0303030303030303
"Xiphocentronidaeprom",0.0303030303030303
"Tetrigidaeprom",0.0303030303030303
"Limoniidaeprom",0.0303030303030303
"Empididaeprom",0.0303030303030303
"Libellulidaeprom",0.424242424242424
"Hydrobiosidaeprom",0.181818181818182
"Glossosomatidaeprom",0.0303030303030303
"Crambidaeprom",0.0303030303030303
"Hydroptilidaeprom",0.0606060606060606
