"","T1","T2","T3","T4"
"Prom_Temp_AmbT",20.8333333333333,15.6666666666667,13.6666666666667,13
"Prom_Temp_AguaT",18.6666666666667,17,15,15.3333333333333
"Prom_ConductividadT",369.666666666667,276,292,281.666666666667
"Prom_O2_T",6.4004980192,6.61030927836667,7.34785478546667,NA
"Prom_O2S_T",89.0673806336333,90.873015873,95.8333333333333,NA
"Prom_pHT",7.7,7.7,8.43333333333333,7.76666666666667
"Prom_STDT",172.333333333333,161.333333333333,138.333333333333,132.666666666667
"E_LuzT",38.3333333333333,22.6666666666667,30.3333333333333,NA
"Prom_HumedadT",80,83.6666666666667,88.3333333333333,NA
"Prom_AnchoT",1.14333333333333,0.686666666666667,0.6,NA
"Prom_ProfT",4.80666666666667,5.95333333333333,8.38,NA
"Prom_VelT",0.0344487919,0.0276474939666667,0.0306157206333333,NA
"Prom_CaudalT",0.120266832566667,0.0699246976666667,0.0879799374666667,NA
